sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
9.6,9.61,1233.145079,0.4985135474,-1.406312928,-3.617567559,-0.4458852847,1.743899925
9.7,9.71,1251.150494,0.4985136678,-1.406312415,-3.75166906,-0.0134902241,1.333847137
9.8,9.81,1269.01857,0.4985137877,-1.406311902,-3.850273937,0.5130359001,1.0934696
9.9,9.91,1286.750434,0.4985139078,-1.406311392,-4.025319304,0.8441989247,0.5723887969
10,10.01,1304.346823,0.4985140288,-1.406310884,-4.127256207,1.078551713,0.2178656721
10.1,10.11,1321.808267,0.4985141512,-1.40631038,-4.251213566,1.37540516,-0.1725578765
10.2,10.21,1339.135364,0.4985142756,-1.406309879,-4.307048777,1.594395832,-0.4356871245
10.3,10.31,1356.328612,0.4985144024,-1.406309382,-4.359873713,1.669622932,-0.7243869171
10.4,10.41,1373.388363,0.4985145319,-1.406308889,-4.367125806,1.975504917,-0.7730220251
10.5,10.51,1390.315225,0.4985146641,-1.406308401,-4.373500078,1.912945557,-0.9867976388
10.6,10.61,1407.109455,0.4985147994,-1.406307918,-4.438461224,1.849312053,-1.332665673
10.7,10.71,1423.771173,0.4985149383,-1.40630744,-4.481371161,1.702172372,-1.63742514
10.8,10.81,1440.300482,0.498515081,-1.406306966,-4.383889216,1.369363795,-1.686263841
10.9,10.91,1456.697544,0.4985152277,-1.406306497,-4.265891817,0.8794575036,-1.75861256
11,11.01,1472.962308,0.4985153785,-1.40630603,-4.12283265,0.4213322513,-1.765768789
11.1,11.11,1489.094791,0.4985155334,-1.406305565,-4.081390738,0.2004892719,-1.888155914
11.2,11.21,1505.095193,0.4985156924,-1.406305103,-3.941331935,-0.1373863688,-1.82268671
11.3,11.31,1520.9636,0.4985158557,-1.406304642,-3.865440484,-0.3075601636,-1.823233389
11.4,11.41,1536.700137,0.498516023,-1.406304181,-3.734574614,-0.6918022924,-1.773611837
11.5,11.51,1552.304988,0.4985161945,-1.406303721,-3.676673281,-0.6606435322,-1.772538291
11.6,11.61,1567.778579,0.49851637,-1.406303262,-3.557039542,-0.8813817826,-1.684334875
11.7,11.71,1583.121274,0.4985165494,-1.406302802,-3.382744735,-0.9711217577,-1.429790206
11.8,11.81,1598.333892,0.4985167324,-1.406302342,-3.285534621,-0.8260773055,-1.274743411
11.9,11.91,1613.417523,0.4985169185,-1.406301883,-3.105090058,-0.7877178259,-0.948228598
12,12.01,1628.373249,0.4985171073,-1.406301424,-3.001622959,-0.7488663932,-0.8141441882
12.1,12.11,1643.202037,0.4985172984,-1.406300965,-2.920526385,-0.416357327,-0.6412024345
12.2,12.21,1657.905061,0.4985174917,-1.406300506,-2.866157236,-0.2456301706,-0.5711677829
12.3,12.31,1672.483271,0.4985176868,-1.406300049,-2.779549995,-0.1709680574,-0.4667873767
12.4,12.41,1686.937631,0.4985178835,-1.406299593,-2.690515085,0.1128177155,-0.249479491
12.5,12.51,1701.269291,0.4985180815,-1.406299138,-2.627707733,0.1856335018,-0.1776203339
12.6,12.61,1715.479063,0.4985182804,-1.406298685,-2.525699454,0.2994135927,0.02894897581
12.7,12.71,1729.56778,0.49851848,-1.406298233,-2.460342489,0.4082475533,0.1481063329
12.8,12.81,1743.536247,0.4985186801,-1.406297783,-2.364359671,0.6237393223,0.3877604377
12.9,12.91,1757.3853,0.4985188801,-1.406297336,-2.306499441,0.7649853751,0.4781228112
13,13.01,1771.115663,0.4985190799,-1.40629689,-2.221822219,0.9131427094,0.6317014599
13.1,13.11,1784.727942,0.4985192792,-1.406296447,-2.131999701,0.8988679965,0.7495183882
13.2,13.21,1798.222551,0.4985194778,-1.406296006,-2.044968076,0.9287227526,0.8908056221
13.3,13.31,1811.599911,0.4985196753,-1.406295568,-1.948276834,0.9462986129,1.052307194
13.4,13.41,1824.860392,0.4985198716,-1.406295131,-1.875705497,0.8295119973,1.087154986
13.5,13.51,1838.004199,0.4985200665,-1.406294697,-1.803134626,0.8687442821,1.212753948
13.6,13.61,1851.03172,0.49852026,-1.406294264,-1.747319771,0.8809888267,1.259842856
13.7,13.71,1863.943316,0.4985204519,-1.406293832,-1.668415367,0.8185730009,1.347071923
13.8,13.81,1876.739243,0.498520642,-1.406293403,-1.577120173,0.7612449811,1.475848376
13.9,13.91,1889.419776,0.4985208301,-1.406292974,-1.52118131,0.9020268439,1.59214281
14,14.01,1901.985308,0.4985210161,-1.406292548,-1.475640815,0.8308370363,1.576552994
14.1,14.11,1914.43612,0.4985212,-1.406292122,-1.424462834,0.7941534324,1.618527971
14.2,14.21,1926.77243,0.4985213817,-1.406291698,-1.381009968,0.6777019499,1.598385394
14.3,14.31,1938.994326,0.4985215612,-1.406291274,-1.327496793,0.5823136836,1.602986451
14.4,14.41,1951.101931,0.4985217388,-1.406290851,-1.273826387,0.4757725749,1.618401867
14.5,14.51,1963.095319,0.4985219143,-1.406290429,-1.210082726,0.3453265674,1.645612477
14.6,14.61,1974.974552,0.4985220879,-1.406290007,-1.164136756,0.3151418195,1.673908671
14.7,14.71,1986.739837,0.4985222594,-1.406289585,-1.134845453,0.2553533782,1.656109327
